SampleWell,BarcodePlate,BarcodeWell,Sample_DNA_concentration,BarcodeID
A01,Plate1,A01,85.19088401,RevFMT.00000006b.110117.LIpcA
A02,Plate1,A02,63.90357571,RevFMT.00000006a.112217.rsitC
A03,Plate1,A03,113.0721279,RevFMT.00000002a.112917.hchTA
A04,Plate1,A04,45.43897363,RevFMT.00000003c.102517.MrxdF
A05,Plate1,A05,51.27981388,RevFMT.00000002c.102517.wvRSe
A06,Plate1,A06,86.75358097,RevFMT.00000002b.110817.TiW9I
A07,Plate1,A07,70.45397484,RevFMT.00000001c.111517.jJu9S
A08,Plate1,A08,101.068551,RevFMT.00000004b.112917.EhWAx
A09,Plate1,A09,48.89006015,RevFMT.00000004c.102517.YQCG7
A10,Plate1,A10,74.9893129,RevFMT.00000002c.111517.dJtGI
A11,Plate1,A11,66.3220564,RevFMT.00000002b.110117.ex2l5
A12,Plate1,A12,19.50402835,RevFMT.00000002c.110817.hHmqY
B01,Plate1,B01,42.74935016,RevFMT.00000008b.102517.coK7I
B02,Plate1,B02,106.9649193,RevFMT.00000007a.112217.20Yba
B03,Plate1,B03,62.38441522,RevFMT.00000008b.111517.utTzT
B04,Plate1,B04,81.43040954,RevFMT.00000001c.110817.pLB7b
B05,Plate1,B05,117.7157903,RevFMT.00000008c.112217.WXTM9
B06,Plate1,B06,91.29685598,RevFMT.00000001c.112917.R2l0w
B07,Plate1,B07,75.81107838,RevFMT.00000004a.112917.guXJN
B08,Plate1,B08,89.21499508,RevFMT.00000004c.112917.jLuO7
B09,Plate1,B09,72.26840297,RevFMT.00000004c.111517.DJ2EU
B10,Plate1,B10,57.75475647,RevFMT.00000005a.110117.i4pK3
B11,Plate1,B11,56.86521294,RevFMT.00000002b.112917.kTlEC
B12,Plate1,B12,75.77185498,RevFMT.00000002b.111517.yj89K
C01,Plate1,C01,62.03298591,RevFMT.00000008c.102517.1Fg4h
C02,Plate1,C02,89.89246159,RevFMT.00000008a.111517.4CHON
C03,Plate1,C03,80.95460977,RevFMT.00000007b.111517.jsbvY
C04,Plate1,C04,72.06682239,RevFMT.00000006b.111517.VcYlq
C05,Plate1,C05,90.53970601,RevFMT.00000008c.111517.FXrV3
C06,Plate1,C06,138.3085215,RevFMT.00000005a.112917.znPou
C07,Plate1,C07,96.44841047,RevFMT.00000008b.112917.1UIXo
C08,Plate1,C08,76.70318141,RevFMT.00000003a.112917.ysO5f
C09,Plate1,C09,72.55866835,RevFMT.00000001b.112917.k1RCO
C10,Plate1,C10,47.93052367,RevFMT.00000004b.102517.YMe8X
C11,Plate1,C11,163.3420117,RevFMT.00000008c.110817.pTcvR
C12,Plate1,C12,55.03508322,RevFMT.00000005c.112217.2rqNh
D01,Plate1,D01,62.57498246,RevFMT.00000001b.111517.BmyP4
D02,Plate1,D02,82.33335361,RevFMT.00000007a.110817.nBzGd
D03,Plate1,D03,63.24540409,RevFMT.00000007c.111517.2fjNU
D04,Plate1,D04,67.40190872,RevFMT.00000003b.111517.tf7Jq
D05,Plate1,D05,53.64946681,RevFMT.00000008a.112917.YzU3o
D06,Plate1,D06,76.22332702,RevFMT.00000005c.112917.8NMvs
D07,Plate1,D07,77.97262275,RevFMT.00000005b.110817.jgGm6
D08,Plate1,D08,86.8304465,RevFMT.00000005c.110817.7lvjk
D09,Plate1,D09,54.81886542,RevFMT.00000005b.112917.iXh7T
D10,Plate1,D10,66.91288071,RevFMT.00000007a.110117.NipjP
D11,Plate1,D11,64.93247151,RevFMT.00000006a.110817.MLw6q
D12,Plate1,D12,51.71805768,RevFMT.00000006c.110817.a4BqT
E01,Plate1,E01,77.15094342,RevFMT.00000006b.110817.hghRc
E02,Plate1,E02,48.09544035,RevFMT.00000007c.112917.0JURy
E03,Plate1,E03,91.33150786,RevFMT.00000002c.112917.SQDFD
E04,Plate1,E04,47.49527012,RevFMT.00000008a.112217.wMU14
E05,Plate1,E05,71.17463321,RevFMT.00000003b.112917.Xdmxc
E06,Plate1,E06,45.33240293,RevFMT.00000006c.112917.mp0E3
E07,Plate1,E07,46.02326997,RevFMT.00000005b.111517.5zBwT
E08,Plate1,E08,61.20981146,RevFMT.00000005a.111517.VqDGv
E09,Plate1,E09,68.26853349,RevFMT.00000007b.112217.R0hwr
E10,Plate1,E10,61.37745994,RevFMT.00000007a.112917.njQ49
E11,Plate1,E11,64.24715422,RevFMT.00000007b.112917.JyN1n
E12,Plate1,E12,63.2319174,RevFMT.00000008b.112217.UBFVb
F01,Plate1,F01,50.96082156,RevFMT.00000003c.112917.0KCih
F02,Plate1,F02,46.08408931,RevFMT.00000003a.111517.tI3S8
F03,Plate1,F03,96.8998825,RevFMT.00000006b.102517.bqxlF
F04,Plate1,F04,146.5449237,RevFMT.00000006a.112917.gB3lM
F05,Plate1,F05,58.8997412,RevFMT.00000007c.112217.9WD8d
F06,Plate1,F06,76.40604346,RevFMT.00000006c.112217.QxAVT
F07,Plate1,F07,79.06225174,RevFMT.00000006b.112217.XQ4jD
F08,Plate1,F08,63.56042795,RevFMT.00000002a.110817.zPj7V
F09,Plate1,F09,68.97950134,RevFMT.00000008c.112917.9JtUq
F10,Plate1,F10,36.77065275,RevFMT.00000006b.112917.dmwTQ
F11,Plate1,F11,76.75226762,RevFMT.00000006a.110117.NF1af
F12,Plate1,F12,72.87924195,RevFMT.00000004c.110817.HkgRT
G01,Plate1,G01,61.42867491,RevFMT.00000006c.102517.Osdfl
G02,Plate1,G02,53.27230079,RevFMT.00000002b.102517.0ztxz
G03,Plate1,G03,36.36104976,RevFMT.00000002c.110117.bU7Tt
G04,Plate1,G04,85.26659901,RevFMT.00000002a.102517.jxLmN
G05,Plate1,G05,75.27189978,RevFMT.00000008c.110117.7zXzw
G06,Plate1,G06,46.96808309,RevFMT.00000006c.111517.dvU7b
G07,Plate1,G07,52.76282738,RevFMT.00000007a.111517.3pSNq
G08,Plate1,G08,85.79519502,RevFMT.00000007a.102517.Qb7HX
G09,Plate1,G09,99.77098575,RevFMT.00000008a.110117.dCk3j
G10,Plate1,G10,56.02996077,RevFMT.00000003b.102517.2WSef
G11,Plate1,G11,66.73976863,RevFMT.00000003a.102517.KGmmU
G12,Plate1,G12,36.92067377,RevFMT.00000004c.110117.xHV0a
H01,Plate1,H01,106.8935174,RevFMT.00000001a.112217.GyqJm
H02,Plate1,H02,44.88216757,RevFMT.00000001b.112217.G3Yrg
H03,Plate1,H03,77.7479511,RevFMT.00000001c.112217.tLkHd
H04,Plate1,H04,77.48307784,RevFMT.00000002a.112217.w7bib
H05,Plate1,H05,61.19871197,RevFMT.00000002b.112217.kfDcQ
H06,Plate1,H06,73.64283374,RevFMT.00000002c.112217.xfcoi
