SampleWell,BarcodePlate,BarcodeWell,Sample_DNA_concentration,BarcodeID
A01,Plate3,A01,41.21644453,pTxFMT.00000005b.112217.DovgX
A02,Plate3,A02,17.22533069,pTxFMT.00000005c.112217.0E4zs
A03,Plate3,A03,15.44129693,pTxFMT.00000006a.112217.YAKM9
A04,Plate3,A04,13.85999428,pTxFMT.00000006b.112217.clyJT
A05,Plate3,A05,11.05419574,pTxFMT.00000006c.112217.7wkVk
A06,Plate3,A06,2.190791673,pTxFMT.00000001a.112717.Jal96
A07,Plate3,A07,1.833984922,pTxFMT.00000001b.112717.p7J4L
A08,Plate3,A08,8.191632487,pTxFMT.00000001c.112717.R63w8
A09,Plate3,A09,7.291506365,pTxFMT.00000002a.112717.IGQqF
A10,Plate3,A10,2.450287492,pTxFMT.00000002b.112717.1gTky
A11,Plate3,A11,6.934699614,pTxFMT.00000002c.112717.YV2RE
A12,Plate3,A12,2.093480741,pTxFMT.00000003a.112717.J1O72
B01,Plate3,B01,2.580035402,pTxFMT.00000003b.112717.4NR1j
B02,Plate3,B02,2.207010162,pTxFMT.00000003c.112717.3Edvh
B03,Plate3,B03,0.577052049,pTxFMT.00000004a.112717.sGjm6
B04,Plate3,B04,3.15579175,pTxFMT.00000004b.112717.nfHpM
B05,Plate3,B05,1.201463863,pTxFMT.00000004c.112717.4w4L5
B06,Plate3,B06,0.941968044,pTxFMT.00000004d.112717.8rkH4
B07,Plate3,B07,0.909531067,pTxFMT.00000005a.112717.HtgDV
B08,Plate3,B08,1.396085727,pTxFMT.00000005b.112717.3b7GL
B09,Plate3,B09,1.501505904,pTxFMT.00000005c.112717.6EJcr
B10,Plate3,B10,1.639363058,pTxFMT.00000006a.112717.sTv3N
B11,Plate3,B11,1.193354619,pTxFMT.00000006b.112717.jtgp4
B12,Plate3,B12,0.37432094,pTxFMT.00000006c.112717.wjXkK
C01,Plate3,C01,6.212976868,pTxFMT.000PM.1.1.112717.XL7To
C02,Plate3,C02,6.683313039,pTxFMT.000PM.2.1.112717.XL7To
C03,Plate3,C03,5.329069234,pTxFMT.000PM.2.2.112717.XL7To
