SampleWell,BarcodePlate,BarcodeWell,Sample_DNA_concentration,BarcodeID
H01,Plate2,H01,83.31209882,pTxFMT.00000001c.112217.SDz2U
H02,Plate2,H02,81.55055308,pTxFMT.00000002a.112217.LwG5f
H03,Plate2,H03,73.03357604,pTxFMT.00000002b.112217.WkajE
H04,Plate2,H04,70.21245108,pTxFMT.00000002c.112217.DKqaV
H05,Plate2,H05,78.5120598,pTxFMT.00000003a.112217.yJJUp
H06,Plate2,H06,67.05082401,pTxFMT.00000003b.112217.iB7vF
H07,Plate2,H07,70.26912964,pTxFMT.00000003c.112217.aB8L6
H08,Plate2,H08,37.52498478,pTxFMT.00000004a.112217.QwStM
H09,Plate2,H09,42.14935223,pTxFMT.00000004b.112217.6t48I
H10,Plate2,H10,38.78349892,pTxFMT.00000004c.112217.lNiE7
H11,Plate2,H11,6.196758379,pTxFMT.00000004d.112217.bi80V
H12,Plate2,H12,34.16873584,pTxFMT.00000005a.112217.GfB8M
