SampleWell,BarcodePlate,BarcodeWell,Sample_DNA_concentration,BarcodeID
D05,Plate4,D05,175.4801071,GnCro1.003b.040415.8ObO9
D06,Plate4,D06,189.5918625,GnCro1.004c.040415.b4MSe
D07,Plate4,D07,315.9050592,GnCro1.005d.040415.imoRP
D08,Plate4,D08,149.1612505,GnCro1.006a.040415.eNEYv
D09,Plate4,D09,202.2318396,GnCro1.006b.040415.3LWkk
D10,Plate4,D10,133.2314162,GnCro1.007a.040415.xqwSE
D11,Plate4,D11,149.853852,GnCro1.008b.040415.t0XAs
D12,Plate4,D12,347.1587014,GnCro1.009c.040415.GtWNV
E01,Plate4,E01,332.7872205,GnCro1.010d.040415.3H2Ij
E02,Plate4,E02,269.8470601,GnCro1.001a.040615.2Mpsm
E03,Plate4,E03,228.3775459,GnCro1.001b.040615.E2a3n
E04,Plate4,E04,218.4213995,GnCro1.001c.040615.7z42b
E05,Plate4,E05,241.7101246,GnCro1.002a.040615.hM0fP
E06,Plate4,E06,228.7238466,GnCro1.003b.040615.va2UK
E07,Plate4,E07,200.7600615,GnCro1.004c.040615.loSRm
E08,Plate4,E08,182.3195468,GnCro1.005d.040615.aVt8D
E09,Plate4,E09,185.5228287,GnCro1.006a.040615.88X8I
E10,Plate4,E10,339.8863858,GnCro1.006b.040615.1DxhX
E11,Plate4,E11,214.3523657,GnCro1.007a.040615.bXCEW
E12,Plate4,E12,186.128855,GnCro1.008b.040615.kWf1j
F01,Plate4,F01,128.9892321,GnCro1.009c.040615.DywJQ
F02,Plate4,F02,243.3550531,GnCro1.010d.040615.NVasy
F03,Plate4,F03,284.218541,GnCro1.001a.041015.KCWjM
F04,Plate4,F04,212.620862,GnCro1.001b.041015.tgVRX
F05,Plate4,F05,239.7188953,GnCro1.001c.041015.kiEqX
F06,Plate4,F06,147.4297468,GnCro1.002a.041015.HaLRy
F07,Plate4,F07,249.0690154,GnCro1.003b.041015.ySzt2
F08,Plate4,F08,259.5446129,GnCro1.004c.041015.1mEsW
F09,Plate4,F09,221.9709821,GnCro1.005d.041015.AzdKr
F10,Plate4,F10,142.4949611,GnCro1.006a.041015.unY6M
F11,Plate4,F11,161.6280773,GnCro1.006b.041015.uBiX3
F12,Plate4,F12,314.2601306,GnCro1.007a.041015.dDCo1
G01,Plate4,G01,432.1755343,GnCro1.008b.041015.mUfv2
G02,Plate4,G02,386.7235615,GnCro1.009c.041015.LDsqW
G03,Plate4,G03,205.6948471,GnCro1.010d.041015.sMMoe
G04,Plate4,G04,298.6765971,GnCro1.001a.041715.0jJl9
G05,Plate4,G05,278.5911539,GnCro1.001b.041715.lhlCa
G06,Plate4,G06,282.5736125,GnCro1.001c.041715.6LGlG
G07,Plate4,G07,214.8718168,GnCro1.002a.041715.zNrVo
G08,Plate4,G08,261.9687181,GnCro1.003b.041715.1YCAc
G09,Plate4,G09,210.0236064,GnCro1.004c.041715.icOLP
G10,Plate4,G10,234.1780834,GnCro1.005d.041715.19BKo
G11,Plate4,G11,208.7249786,GnCro1.006a.041715.g4F2K
G12,Plate4,G12,203.2707419,GnCro1.006b.041715.RuXFx
H01,Plate4,H01,260.3237896,GnCro1.007a.041715.9647J
H02,Plate4,H02,178.3370882,GnCro1.008b.041715.W64uK
H03,Plate4,H03,212.3611364,GnCro1.009c.041715.1p8Jm
H04,Plate4,H04,172.8828515,GnCro1.010d.041715.uXlP7
H05,Plate4,H05,225.2608392,GnCro1.001a.050115.1NB8F
H06,Plate4,H06,298.0705708,GnCro1.001b.050115.n5S4N
H07,Plate4,H07,185.5228287,GnCro1.001c.050115.XstES
H08,Plate4,H08,156.4335661,GnCro1.002a.050115.G4sEp
H09,Plate4,H09,282.3138869,GnCro1.003b.050115.2Dssm
H10,Plate4,H10,222.403858,GnCro1.004c.050115.RPobV
H11,Plate4,H11,298.2437212,GnCro1.005d.050115.gKoKI
H12,Plate4,H12,284.5648418,GnCro1.006a.050115.NLCNl
