SampleWell,BarcodePlate,BarcodeWell,Sample_DNA_concentration,BarcodeID
A01,Plate4,A01,64.84715215,pTxFMT.00000004a.121217.z3HtR
A02,Plate4,A02,64.21753519,pTxFMT.00000004b.121217.MHg71
A03,Plate4,A03,104.3816942,pTxFMT.00000004c.121217.u234e
A04,Plate4,A04,98.3770878,pTxFMT.00000004d.121217.c16LD
A05,Plate4,A05,119.4092134,pTxFMT.00000005a.121217.Heesr
A06,Plate4,A06,39.06203118,pTxFMT.00000005b.121217.8QXlV
A07,Plate4,A07,111.9556979,pTxFMT.00000005c.121217.b8M0l
A08,Plate4,A08,0.358102451,pTxFMT.00000006a.121217.XH86k
A09,Plate4,A09,6.748186994,pTxFMT.00000006b.121217.28geK
A10,Plate4,A10,15.14125489,pTxFMT.00000006c.121217.hb90G
A11,Plate4,A11,126.2188261,GnCro1.00Ia.032715.Ng95A
A12,Plate4,A12,166.9957389,GnCro1.00Ib.032715.Cr7uG
B01,Plate4,B01,222.3172829,GnCro1.00Ic.032715.LTgte
B02,Plate4,B02,46.30992925,GnCro1.0IIa.032715.4yUdD
B03,Plate4,B03,48.12800816,GnCro1.0IIb.032715.abeGB
B04,Plate4,B04,53.32251933,GnCro1.0IIc.032715.j9iKF
B05,Plate4,B05,63.19209056,GnCro1.0IId.032715.q4d5W
B06,Plate4,B06,138.9453785,GnCro1.IIIa.032715.ph1vc
B07,Plate4,B07,114.9640519,GnCro1.IIIb.032715.1AY61
B08,Plate4,B08,68.30002655,GnCro1.0IVa.032715.8bcpU
B09,Plate4,B09,24.14668157,GnCro1.0IVb.032715.ez4rI
B10,Plate4,B10,68.38660174,GnCro1.0IVc.032715.A6rxD
B11,Plate4,B11,57.47812827,GnCro1.0IVd.032715.pD6L8
B12,Plate4,B12,174.4412049,GnCro1.00Ia.040315.SnFq3
C01,Plate4,C01,187.514058,GnCro1.00Ib.040315.sG4WM
C02,Plate4,C02,312.6152021,GnCro1.00Ic.040315.XalVL
C03,Plate4,C03,81.37287967,GnCro1.0IIa.040315.DK4qU
C04,Plate4,C04,118.3404842,GnCro1.0IIb.040315.nHGdk
C05,Plate4,C05,97.12956356,GnCro1.0IIc.040315.uSKqf
C06,Plate4,C06,152.9705587,GnCro1.0IId.040315.CYI96
C07,Plate4,C07,263.0941956,GnCro1.IIIa.040315.FSaKM
C08,Plate4,C08,281.448135,GnCro1.IIIb.040315.pnmYu
C09,Plate4,C09,154.1826113,GnCro1.0IVa.040315.HyxGf
C10,Plate4,C10,88.03916901,GnCro1.0IVb.040315.U08Lk
C11,Plate4,C11,134.4434688,GnCro1.0IVc.040315.aySEp
C12,Plate4,C12,70.03153027,GnCro1.0IVd.040315.0jcb8
D01,Plate4,D01,270.279936,GnCro1.001a.040415.7YpDF
D02,Plate4,D02,175.0472312,GnCro1.001b.040415.WpGpS
D03,Plate4,D03,215.9107191,GnCro1.001c.040415.OlezT
D04,Plate4,D04,142.4949611,GnCro1.002a.040415.DQ6P1
