ReaderWell,Type,SampleWell,TubeBarcode,Full.Mass,Full.Weight.Date,Full.Weight.Time,BarcodeID,Empty.Mass,Empty.Weight.Date,Empty.Weight.Time,SampleMass,Experiment,Date,Cage,Animal,Timepoint,Sex,Condition,Sample,Replicate
C01,Experiment,C01,231322493,1006.5,9/7/17,10:37:27,SW_Abs|00000001a|090417|ZbnL7,934.6,8/15/17,17:09:05,71.9,SW_Abs1,5-Sep,1,1a,8,Male,AS4413,FP,NA
C02,Experiment,C02,231322443,1040.7,9/7/17,10:37:35,SW_Abs|00000001b|090417|GVb0b,933.9,8/15/17,17:09:11,106.8,SW_Abs1,5-Sep,1,1b,8,Male,AS4413,FP,NA
C03,Experiment,C03,231322464,1012.1,9/7/17,10:37:39,SW_Abs|00000002a|090417|DAlWJ,932.6,8/15/17,17:09:17,79.5,SW_Abs1,5-Sep,2,2a,8,Male,NB71813,FP,NA
C04,Experiment,C04,231322447,973.8,9/7/17,10:37:47,SW_Abs|00000002b|090417|JtYrO,935,8/15/17,17:09:23,38.8,SW_Abs1,5-Sep,2,2b,8,Male,NB71813,FP,NA
C05,Experiment,C05,231322510,1040.2,9/7/17,10:37:55,SW_Abs|00000003a|090417|cxWdT,932.9,8/15/17,17:09:28,107.3,SW_Abs1,5-Sep,3,3a,8,Male,GZ35-1,FP,NA
C06,Experiment,C06,231322463,1074.3,9/7/17,10:38:17,SW_Abs|00000003b|090417|OJctK,933.9,8/15/17,17:09:34,140.4,SW_Abs1,5-Sep,3,3b,8,Male,GZ35-1,FP,NA
C07,Experiment,C07,231322461,1004.5,9/7/17,10:38:21,SW_Abs|00000004a|090417|2G2Cl,935.8,8/15/17,17:09:42,68.7,SW_Abs1,5-Sep,4,4a,8,Female,1001095A+1001099B,FP,NA
C08,Experiment,C08,231322468,963.7,9/7/17,10:38:26,SW_Abs|00000004b|090417|8006q,936.5,8/15/17,17:09:47,27.2,SW_Abs1,5-Sep,4,4b,8,Female,1001095A+1001099B,FP,NA
C09,Experiment,C09,231322513,988.3,9/7/17,10:38:31,SW_Abs|00000005a|090417|zP23h,932.6,8/15/17,17:09:53,55.7,SW_Abs1,5-Sep,5,5a,8,Male,1001095A+1001099B,FP,NA
C10,Experiment,C10,231322470,1043.1,9/7/17,10:38:35,SW_Abs|00000005b|090417|ldbvB,933.3,8/15/17,17:09:59,109.8,SW_Abs1,5-Sep,5,5b,8,Male,1001095A+1001099B,FP,NA
C11,Experiment,C11,231322515,1025.2,9/7/17,10:38:39,SW_Abs|00000005c|090417|4fjWS,935.6,8/15/17,17:10:12,89.6,SW_Abs1,5-Sep,5,5c,8,Male,1001095A+1001099B,FP,NA
C12,Experiment,C12,231322408,1026,9/7/17,10:38:43,SW_Abs|00000006a|090417|bpR8I,938.8,8/15/17,17:10:24,87.2,SW_Abs1,5-Sep,6,6a,8,Male,1001254A+1001262B,FP,NA
D01,Experiment,D01,231322401,1014.4,9/7/17,10:38:47,SW_Abs|00000006b|090417|8GaEB,934.7,8/15/17,17:10:37,79.7,SW_Abs1,5-Sep,6,6b,8,Male,1001254A+1001262B,FP,NA
D02,Experiment,D02,231322385,972.4,9/7/17,10:38:51,SW_Abs|00000007a|090417|ybchq,936.9,8/15/17,17:10:44,35.5,SW_Abs1,5-Sep,7,7a,8,Male,1001099B_AVNC_Recovery,FP,NA
D03,Experiment,D03,231322406,990.3,9/7/17,10:38:55,SW_Abs|00000007b|090417|DwEiY,934.7,8/15/17,17:10:50,55.6,SW_Abs1,5-Sep,7,7b,8,Male,1001099B_AVNC_Recovery,FP,NA
