SW_Abs|00000003a|083017|qi55p	0231322444	933.5	8/15/17	17:05:25
SW_Abs|00000003b|083017|82BNN	0231322511	944.4	8/15/17	17:05:33
SW_Abs|00000004a|083017|uvOf2	0231322485	933.4	8/15/17	17:05:49
SW_Abs|00000004b|083017|gUZu4	0231322446	934.8	8/15/17	17:06:01
SW_Abs|00000005a|083017|pnipq	0231322537	945.1	8/15/17	17:06:09
SW_Abs|00000005b|083017|ns1Xn	0231322469	935.5	8/15/17	17:06:16
SW_Abs|00000005c|083017|q5v9E	0231322518	937.5	8/15/17	17:06:24
SW_Abs|00000006a|083017|kYtxM	0231322495	944.6	8/15/17	17:06:30
SW_Abs|00000006b|083017|kkD4B	0231322514	934.1	8/15/17	17:06:36
SW_Abs|00000007a|083017|GE2hy	0231322533	932.1	8/15/17	17:06:43
SW_Abs|00000007b|083017|Pjh6H	0231322516	941.5	8/15/17	17:06:50
SW_Abs|00000008a|083017|ZEOvr	0231322517	936.2	8/15/17	17:06:56
SW_Abs|00000008b|083017|4Sw4v	0231322442	935	8/15/17	17:07:05
SW_Abs|00000009a|083017|H3zwp	0231322428	941.6	8/21/17	16:20:59
SW_Abs|00000009b|083017|tTdeJ	0231322380	934.3	8/21/17	16:21:05
SW_Abs|00000009c|083017|VfW5a	0231322362	934.9	8/21/17	16:21:13
SW_Abs|00000010a|083017|jpuvx	0231322377	934	8/21/17	16:21:21
SW_Abs|00000010b|083017|mToM4	0231322426	933.5	8/21/17	16:21:27
SW_Abs|00000010c|083017|VEHmR	0231322357	939.7	8/21/17	16:21:35
SW_Abs|00000001a|090117|kmSFB	0231322445	937.1	8/15/17	17:07:12
SW_Abs|00000001b|090117|vPhZA	0231322462	936.1	8/15/17	17:07:21
SW_Abs|00000002a|090117|VGBO5	0231322484	934.7	8/15/17	17:07:26
SW_Abs|00000002b|090117|o0k9G	0231322512	933.7	8/15/17	17:07:33
SW_Abs|00000003a|090117|72BP4	0231322487	934.1	8/15/17	17:07:39
SW_Abs|00000003b|090117|3FTmt	0231322535	943.2	8/15/17	17:07:44
SW_Abs|00000004a|090117|hNGut	0231322508	933.6	8/15/17	17:07:50
SW_Abs|00000004b|090117|LhoYM	0231322488	935	8/15/17	17:07:56
SW_Abs|00000005a|090117|xLH85	0231322467	934.3	8/15/17	17:08:03
SW_Abs|00000005b|090117|ETVjZ	0231322491	935.3	8/15/17	17:08:09
SW_Abs|00000005c|090117|WRTSc	0231322519	942.1	8/15/17	17:08:14
SW_Abs|00000006a|090117|a5iyE	0231322509	934.7	8/15/17	17:08:23
SW_Abs|00000006b|090117|8NDro	0231322486	939.8	8/15/17	17:08:32
SW_Abs|00000007a|090117|yrJ0D	0231322494	934.6	8/15/17	17:08:38
SW_Abs|00000007b|090117|Qt8e8	0231322465	936.6	8/15/17	17:08:47
SW_Abs|00000008a|090117|w5Rnn	0231322471	934.1	8/15/17	17:08:53
SW_Abs|00000008b|090117|p4HKp	0231322460	933.7	8/15/17	17:09:00
SW_Abs|00000009a|090117|xBxcf	0231322432	943	8/21/17	16:21:43
SW_Abs|00000009b|090117|ye8X5	0231322384	935.2	8/21/17	16:21:52
SW_Abs|00000009c|090117|4Sg1U	0231322410	936.9	8/21/17	16:22:00
SW_Abs|00000010a|090117|m6DQG	0231322430	941	8/21/17	16:22:08
SW_Abs|00000010b|090117|Kz2xz	0231322429	935.1	8/21/17	16:22:15
SW_Abs|00000010c|090117|svFv6	0231322354	935.1	8/21/17	16:22:21
SW_Abs|00000001a|090417|ZbnL7	0231322493	934.6	8/15/17	17:09:05
SW_Abs|00000001b|090417|GVb0b	0231322443	933.9	8/15/17	17:09:11
SW_Abs|00000002a|090417|DAlWJ	0231322464	932.6	8/15/17	17:09:17
SW_Abs|00000002b|090417|JtYrO	0231322447	935	8/15/17	17:09:23
SW_Abs|00000003a|090417|cxWdT	0231322510	932.9	8/15/17	17:09:28
SW_Abs|00000003b|090417|OJctK	0231322463	933.9	8/15/17	17:09:34
SW_Abs|00000004a|090417|2G2Cl	0231322461	935.8	8/15/17	17:09:42
SW_Abs|00000004b|090417|8006q	0231322468	936.5	8/15/17	17:09:47
SW_Abs|00000005a|090417|zP23h	0231322513	932.6	8/15/17	17:09:53
SW_Abs|00000005b|090417|ldbvB	0231322470	933.3	8/15/17	17:09:59
SW_Abs|00000005c|090417|4fjWS	0231322515	935.6	8/15/17	17:10:12
SW_Abs|00000006a|090417|bpR8I	0231322408	938.8	8/15/17	17:10:24
SW_Abs|00000006b|090417|8GaEB	0231322401	934.7	8/15/17	17:10:37
SW_Abs|00000007a|090417|ybchq	0231322385	936.9	8/15/17	17:10:44
SW_Abs|00000007b|090417|DwEiY	0231322406	934.7	8/15/17	17:10:50
SW_Abs|00000008a|090417|L2foA	0231322427	932.6	8/15/17	17:10:56
SW_Abs|00000008b|090417|WlJGO	0231322409	936.2	8/15/17	17:11:04
SW_Abs|00000009a|090417|1tzfu	0231323126	932.6	8/21/17	16:22:28
SW_Abs|00000009b|090417|UslDO	0231323169	936	8/21/17	16:22:33
SW_Abs|00000009c|090417|rRbhx	0231323155	935.9	8/21/17	16:22:41
SW_Abs|00000010a|090417|0OjHe	0231323125	935.6	8/21/17	16:22:48
SW_Abs|00000010b|090417|4iUnW	0231323151	937.1	8/21/17	16:22:54
SW_Abs|00000010c|090417|l2jQs	0231323123	936.3	8/21/17	16:23:03
SW_Abs|00000001a|090617|vdQ5q	0231322379	935.4	8/15/17	17:11:10
SW_Abs|00000001b|090617|IrSgE	0231322376	932.3	8/15/17	17:11:15
SW_Abs|00000002a|090617|Jq1oc	0231322382	932.7	8/15/17	17:11:20
SW_Abs|00000002b|090617|FACJc	0231322425	933.8	8/15/17	17:11:26
SW_Abs|00000003a|090617|KgXvM	0231322360	937	8/15/17	17:11:32
SW_Abs|00000003b|090617|YEimc	0231322352	941.1	8/15/17	17:11:38
SW_Abs|00000004a|090617|kOLT7	0231322435	935.8	8/15/17	17:11:46
SW_Abs|00000004b|090617|8JUUY	0231322407	941.9	8/15/17	17:11:52
SW_Abs|00000005a|090617|X7Iq6	0231322386	937	8/15/17	17:11:59
SW_Abs|00000005b|090617|stEgL	0231322387	935.1	8/15/17	17:12:07
SW_Abs|00000005c|090617|PZ18p	0231322356	933.6	8/15/17	17:12:14
SW_Abs|00000006a|090617|OVx3O	0231322411	932.9	8/15/17	17:12:21
SW_Abs|00000006b|090617|oZKSX	0231322358	937.7	8/15/17	17:12:28
SW_Abs|00000007a|090617|SKa47	0231322404	947.8	8/15/17	17:12:34
SW_Abs|00000007b|090617|MzlpK	0231322359	936.9	8/15/17	17:12:40
